code,Side,Time,Preys_web,Preys_eating,Prey_remains,Preys_ID,silk_d,day,opisto_w,web_area,number_silk,Web_height,site_exp,check,colour,luxes,total_preys,t_luxes,colourSide,presence_decorations,b_luxes
N8,dorsal,6.3,0,0,0,NA,3,2,9.2,395.8406744,3,190,dorsal,M,black,0.75,0,low,black_dorsal,yes,0
N8,ventral,6.3,0,0,0,NA,3,2,9.2,395.8406744,3,190,dorsal,M,black,0.43,0,low,black_ventral,yes,0
N9.1,dorsal,6.3,0,0,0,NA,0,2,NA,271.7477645,0,130,ventral,M,black,0.18,0,low,black_dorsal,no,0
N9.1,ventral,6.3,0,0,0,NA,0,2,NA,271.7477645,0,130,ventral,M,black,168,0,high,black_ventral,no,1
B1.1,ventral,8.3,1,1,0,NA,0,2,NA,339.2920066,0,60,dorsal,M,white,0.25,2,low,white_ventral,no,0
B2,ventral,8.3,1,0,0,diptera,0,2,8.6,387.9866927,0,190,ventral,M,white,114,1,high,white_ventral,no,1
A1,ventral,8.3,1,0,1,diptera,1,2,9.7,351.8583772,1,180,dorsal,M,yellow,0.47,1,low,yellow_ventral,yes,0
B46,dorsal,8.3,1,0,NA,hymenoptera,3,2,10.7,805.8185156,3,166,ventral,E,white,0.25,1,low,white_dorsal,yes,0
A16,dorsal,8.3,2,0,NA,diptera,0,2,12.3,271.7477645,0,140,ventral,F,yellow,0.11,2,low,yellow_dorsal,no,0
B1.1,dorsal,8.3,0,0,NA,NA,0,2,NA,339.2920066,0,60,dorsal,M,white,0.9,0,low,white_dorsal,no,0
B2,dorsal,8.3,0,0,NA,NA,0,2,8.6,387.9866927,0,190,ventral,M,white,0.24,0,low,white_dorsal,no,0
A1,dorsal,8.3,0,0,NA,NA,1,2,9.7,351.8583772,1,180,dorsal,M,yellow,0.65,0,low,yellow_dorsal,yes,0
B46,ventral,8.3,0,0,NA,NA,3,2,10.7,805.8185156,3,166,ventral,E,white,145,0,high,white_ventral,yes,1
A16,ventral,8.3,0,0,NA,NA,0,2,12.3,271.7477645,0,140,ventral,F,yellow,193,0,high,yellow_ventral,no,1
A14,dorsal,8.3,0,0,0,NA,0,2,9.4,326.725636,0,107,ventral,F,yellow,0.2,0,low,yellow_dorsal,no,0
A14,ventral,8.3,0,0,0,NA,0,2,9.4,326.725636,0,107,ventral,F,yellow,0.43,0,low,yellow_ventral,no,0
A15,dorsal,8.3,0,0,0,NA,0,2,10,276.4601535,0,135,ventral,F,yellow,0.28,0,low,yellow_dorsal,no,0
A15,ventral,8.3,0,0,0,NA,0,2,10,276.4601535,0,135,ventral,F,yellow,0.45,0,low,yellow_ventral,no,0
A18,dorsal,8.3,0,0,0,NA,0,2,NA,382.0962065,0,63,dorsal,E,yellow,0.85,0,low,yellow_dorsal,no,0
A18,ventral,8.3,0,0,0,NA,0,2,NA,382.0962065,0,63,dorsal,E,yellow,0.21,0,low,yellow_ventral,no,0
A3,dorsal,8.3,0,0,0,NA,4,2,10.3,391.1282854,4,130,dorsal,M,yellow,112,0,high,yellow_dorsal,yes,1
A3,ventral,8.3,0,0,0,NA,4,2,10.3,391.1282854,4,130,dorsal,M,yellow,0.61,0,low,yellow_ventral,yes,0
A4.B3,dorsal,8.3,0,0,0,NA,0,2,NA,596.9026042,0,170,ventral,M,white,0.39,0,low,white_dorsal,no,0
A4.B3,ventral,8.3,0,0,0,NA,0,2,NA,596.9026042,0,170,ventral,M,white,149,0,high,white_ventral,no,1
A6,dorsal,8.3,0,0,0,NA,0,2,8.6,372.2787295,0,140,ventral,M,yellow,0.28,0,low,yellow_dorsal,no,0
A6,ventral,8.3,0,0,0,NA,0,2,8.6,372.2787295,0,140,ventral,M,yellow,165,0,high,yellow_ventral,no,1
